Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
Spastik,0.939,0.989
So Deep,0.793,0.583
Climax,0.852,0.948
Fontane,0.815,0.777
A Wonderful Life - Version,0.886,0.586
The Answer,0.936,0.229
The Melody - Henrik Schwarz Remix,0.9,0.491
Sunday Afternoon,0.84,0.816
The Best Is Yet to Come,0.834,0.551
Un Common,0.902,0.608
I Can't Kick This Feeling When It Hits,0.858,0.634
Gak (Remastered),0.943,0.508
Homage,0.799,0.884
Shameless,0.862,0.9
Play Thru Moon,0.831,0.677
Desert Eagle,0.815,0.925
Disconnect - (Joris Voorn Edit) [Mixed],0.888,0.399
Mars Garden,0.9,0.172
Oops,0.854,0.988
Wayne County Hill Cop's,0.858,0.9
First,0.786,0.891
Electric Garden - Deep Jazz in the Garden Mix,0.885,0.175
Something for Myself,0.916,0.498
Buggin Out,0.893,0.381
Televised Green Smoke,0.907,0.448
The Melody - Versus Edit Version,0.869,0.484
Down,0.942,0.468
Flying Fish,0.821,0.697
Starlight - (Echospace Dub) [Mixed],0.961,0.935
Night of the Sagitarius,0.88,0.616
You Silk Suit Wearin Mulafuk'ka,0.911,0.849
No U.F.Os (inst.),0.601,0.808
Dr. Blowfins' Black Storm Stabilizing Spheres,0.898,0.77
Starz,0.925,0.815
Pakard,0.915,0.293
Sound 6,0.915,0.993
Nicolette,0.848,0.714
Backlash,0.849,0.78
Fermi II,0.945,0.696
You Know!,0.673,0.766
Everybody,0.895,0.985
Knights Of The Jaguar,0.924,0.84
Crackdown,0.852,0.895
Birth of 3000,0.906,0.47
Galaxy,0.895,0.922
A Toast to Momma Rose,0.75,0.407
Lasttrak,0.9,0.763
Wayne County Hill Cop's - Omar S Mix,0.913,0.975
Smash,0.914,0.714
Afterglow - Original Mix,0.832,0.765
Heaven Knows,0.944,0.601
Chicken Noodle Soup,0.767,0.733
Big Fun 2017 - Piqué & Darksiight Remix,0.801,0.765
Hypokondriak,0.957,0.254
This Love is 4 Real,0.858,0.902
The Final Frontier - Nomadico Remix,0.9,0.808
Big Fun - Magic Juan Remix,0.64,0.875
De Natte Cel (DJ-Kicks) - mixed,0.84,0.591
Them,0.929,0.51
Junkyard Tool - Original Mix,0.91,0.765
Messier Sixty Eight,0.57,0.806
Emancipation of My Soul,0.826,0.475
Aquatacizem,0.824,0.974
The Sound - Jay Lumen Sacred Sounds Remix,0.88,0.946
Keaton's Theme,0.922,0.473
"Panic, Stop. Repeat! - Paco Osuna Remix",0.935,0.547
Kill My Radio Station,0.853,0.458
Sleepy Time,0.85,0.67
Strings of Life,0.811,0.878
Knights of the Jaguar,0.858,0.915
Andreaen Sand Dunes,0.747,0.616
Psyk,0.938,0.34
Heard'chew Single,0.784,0.727
Ooh Bass,0.85,0.409
Ex Machina,0.879,0.568
1001 Nights,0.918,0.833
Skizofrenik,0.848,0.724
Electric Dub,0.929,0.159
No Ufo's - Remix,0.841,0.919
Just Don't Speak - Midnight Sun ReDub,0.865,0.615
The Dance,0.894,0.963
No Enemy no table,0.921,0.928
The Etheric Body,0.851,0.942
Setting Sun,0.934,0.38
Spaced Out,0.873,0.932
Yesterdays Party Watta Bout It,0.757,0.459
Dreamer's Blues,0.931,0.444
Soul of the Sea,0.851,0.575
Evidence Of The Fifth Green Foot - Long,0.922,0.423
Helikopter (Remastered),0.945,0.981
At Les - Christian Smith's Tronic Treatment Remix,0.905,0.567
Drexcyen Star Chamber,0.733,0.493
Lake Haze,0.875,0.622
Selector's Theme,0.861,0.434
Hightech Nomads,0.891,0.693
Sandstorms,0.94,0.616
Falling Up - Theo Parrish 2013 Remaster,0.915,0.534
Creepr,0.967,0.75
I Love The Way U Hold Me - TP's Bangin' House Re-Edit,0.552,0.894
Powers of the Deep,0.695,0.327
Hydro Cubes,0.861,0.698
Lardossen Funk,0.588,0.88
Toxic Broadcast,0.863,0.434
Secrets Of The Mind,0.677,0.635
Lumartes,0.833,0.625
Jaguar,0.821,0.951
Sky Train - Vocal Mix,0.717,0.204
Wednesday Night People,0.925,0.664
On Your Way,0.597,0.59
006 B1,0.742,0.889
Don’t You Want My Love,0.89,0.641
006 A1,0.899,0.846
008 A1,0.88,0.701
Turn and Walk Away,0.858,0.587
Bread Over Bed,0.914,0.899
Future (feat. Inner City) - MK AW Deep Dub,0.678,0.48
Central Nervous System,0.927,0.976
Lift Him Up / Flying Gorgars,0.718,0.484
Another Man,0.864,0.593
Concentration Factor,0.951,0.623
Ponderous - Extended Mix,0.862,0.606
Frogs,0.889,0.39
Brainfreeze - Len Faki Hardspace Mix,0.852,0.752
Aggression,0.915,0.473
"Here's Your Trance, Now Dance!!",0.919,0.753
The Groove That Won't Stop - Extended Remix,0.911,0.882
That's Lil Boy,0.854,0.939
Starlight,0.838,0.365
Love Never Sleeps - Original Mix,0.78,0.684
Future - Vocal,0.817,0.795
Banjo,0.866,0.877
Hellter Shelter,0.904,0.726
Tranzister - Extended Mix,0.893,0.962
Penny Rut - Mixed,0.91,0.967
The Chase - Express Mix,0.889,0.779
Big Fun - Full Intention Extended Remix,0.922,0.583
A Rest / Beyond Kaos,0.902,0.495
Digital Forest,0.739,0.299
Night Vision,0.911,0.885
Shari Vari - Ectomorph Dark Mix,0.82,0.317
Canis Major Overdensity,0.802,0.884
Dagma,0.902,0.468
Incoming,0.909,0.888
Unknown Journey VIII,0.9,0.795
Sweet Sticky,0.903,0.842
Akire,0.908,0.839
Spektre - Extended Version,0.92,0.459
Footprints,0.891,0.379
It's Your Love - Mixed,0.864,0.349
Black Waters,0.843,0.578
Treehouse,0.885,0.37
Midnight Hours,0.866,0.681
Slow Poke (Twilight Zone Mix),0.561,0.243
Argon - 2014 Remaster,0.913,0.742
Dema - Original Mix,0.904,0.633
I Love You,0.558,0.729
Dominas,0.863,0.875
So What - Loco and Jam Mix,0.86,0.801
Real Love - Original Mix,0.83,0.547
Action - 2014 Remaster,0.872,0.88
Stretching,0.96,0.621
Butterfly,0.877,0.717
Serengeti Echoes,0.867,0.406
The Bond We Formed - Slam Remix,0.963,0.674
Space Ghosts,0.834,0.275
Lost Keys,0.913,0.631
Day Like This - Molo Remix,0.851,0.593
Fuk,0.922,0.9
Emanon - Original Mix,0.903,0.97
Hennyweed Buckdance,0.933,0.786
Hi-Tide,0.804,0.938
Desire,0.825,0.575
Gymnastiks,0.96,0.847
Dan Ryan,0.91,0.672
African Roots,0.852,0.539
Spiritual Warfare,0.927,0.56
As Time Goes By (Sitting Under A Tree),0.904,0.308
It Is What It Is - Mixed,0.932,0.945
Drexcyen R.E.S.T. Principle,0.906,0.64
The Plankton Organization,0.831,0.838
The Last Transmission,0.858,0.815
Footwork,0.898,0.621
Aquatic Bata Particles,0.703,0.785
Don't Waste Another Minute - Terrence Parker Classic Piano Mix,0.68,0.716
Talking Walls - Dub,0.902,0.799
It-Just-Is,0.831,0.924
The Blue Drift,0.865,0.939
Jazzo - Original Mix,0.94,0.624
Take Me Away - Truncate Remix,0.939,0.653
Work That Body,0.926,0.523
Tronic Illusion,0.896,0.846
Groovin,0.862,0.781
Good Life - Ejeca Remix,0.859,0.983
I Am Nothing,0.911,0.879
When A Thought Becomes You - Original Mix,0.892,0.807
Project 5 - Untitled B1,0.82,0.806
I Can See,0.926,0.612
Changing Factors,0.852,0.917
When We Used To Play - Blake Baxter Remix,0.864,0.905
Feel It - Full Force Mix,0.566,0.853
Sunday on Saturday - Original Mix,0.892,0.938
Shadow Dancing,0.776,0.0464
Echo Location,0.882,0.615
Thought 2,0.886,0.747
Broken Bammalance Horn,0.88,0.434
Negative Evolution,0.957,0.873
Tardigrade's,0.905,0.877
Ur on Mir,0.764,0.79
Thought 1,0.786,0.921
Sabotage,0.897,0.457
Hunting The Program Director,0.897,0.279
Lumartes (Extended),0.834,0.749
The Lab 03 - Continuous DJ Mix Part 1,0.848,0.656
Superior Race,0.83,0.624
Superior Race,0.761,0.712
Day N’ Nite,0.582,0.853
006 B2,0.885,0.698
Pull Ovaa,0.881,0.935
Magic - Original Mix,0.891,0.822
Martinsville Morning,0.926,0.547
Silk Route - Original Mix,0.882,0.508
Heuristic,0.882,0.703
Thank U 4 Letting Me Be Myself,0.787,0.518
The Human Bond,0.882,0.952
Forces,0.888,0.92
Climax - Dj Exos remix 1,0.89,0.95
That's Me,0.836,0.879
Always There,0.951,0.95
Central Nervous System,0.917,0.977
Freek,0.97,0.868
Poems Of The Atoms - Original Mix,0.854,0.683
Annoying Mumbling Alkaholik,0.881,0.72
Evolution,0.866,0.78
"Sky Train - Austin,Tx Mix",0.827,0.262
Birth Of 3000,0.89,0.485
Freestyle,0.9,0.949
1993,0.884,0.468
Dumpster Graves,0.908,0.714
She's Sah Hero Nik,0.957,0.255
Some More Spaced Out,0.898,0.959
Astral Projections - Detroit Mix,0.861,0.882
Sinister,0.934,0.925
Another Kaos Beyond Kaos,0.687,0.526
Demented (Or Just Crazy) - Original Version,0.648,0.838
Good Life - Pig & Dan Unreleased Less Is More Vocal Extended Remix,0.915,0.756
Silence In The Secret Garden,0.723,0.523
Beyond the Dance - The Cult Mix,0.892,0.944
Present Age,0.894,0.773
Roman Age,0.833,0.549
A Tale from the Parallel Universe,0.667,0.971
The Meaning Of Everything,0.839,0.666
Devices,0.857,0.844
The Drive Home,0.873,0.62
The Resolution,0.921,0.953
Track Ten,0.82,0.767
Lightyears,0.914,0.327
Lost Angel,0.916,0.447
Tribute,0.588,0.753
The Melody - Ishmael Ensemble Remix,0.922,0.564
Milky Way,0.801,0.864
Master of All Visible Shapes,0.852,0.733
Futures Past,0.887,0.32
Stop Lorraine - No One’s Gunna Stop Mix,0.877,0.796
Last One,0.939,0.804
Black Jackal Throwbacks,0.926,0.784
Electric Garden,0.926,0.136
Starlight - The Mike Huckaby S Y N T H Mix,0.91,0.653
the power of doubt - Mixed,0.895,0.849
Dusk Til Dawn,0.922,0.242
Equality Of Patience - Short,0.914,0.758
9 Hours into the Future,0.888,0.937
"Midnight Club Tracks II, Pt. 1",0.895,0.983
Attenuator - Carl Craig Version,0.87,0.651
Forever Free,0.841,0.733
Read Only Memory,0.949,0.614
Sparkle,0.865,0.877
Sandstorms - Versus Version,0.822,0.476
Hand Over Hand,0.876,0.896
The Vibratory Waves of External Unity,0.881,0.906
C-Beams Glitter,0.746,0.431
Ocean To Ocean - Instrumental,0.887,0.705
That Day - Original,0.911,0.25
Return,0.879,0.863
Suspiria,0.924,0.544
Nude Photo,0.934,0.769
Techno Music - M500 Version,0.889,0.952
Off To Battle - Remix,0.922,0.698
Sinister,0.935,0.924
Krautrock,0.849,0.823
On My Way Home,0.874,0.597
Lost Keys,0.911,0.408
Electric Entourage,0.889,0.742
Landcruising,0.884,0.708
Returning to the Purity of Current,0.82,0.756
Radar Detector,0.934,0.753
Mind Of A Machine,0.883,0.684
Lake Shore Drive,0.934,0.47
Let Me Be Me,0.866,0.52
Moonlight Rendezvous,0.858,0.51
Consumed,0.863,0.404
It's Your Love,0.884,0.259
Something Here for the Club - Vocal,0.555,0.854
Palma - Original Mix,0.825,0.917
Bytes,0.911,0.58
Prisma,0.91,0.864
Plasmatik,0.799,0.49
Zon,0.926,0.848
In Motion,0.671,0.834
Road to Nowhere - Original Mix,0.843,0.3
Gonna Rock You All Night - Original Mix,0.79,0.894
Deeparture in Time,0.91,0.724
I Can Take It,0.722,0.39
Ethnik,0.689,0.476
Welcome to Southfield,0.894,0.978
Let's Get Some Love - Terrence Parker Re-Edit,0.881,0.747
Smak (Remastered),0.87,0.97
Akrobatix,0.961,0.719
Summertime Is Here,0.547,0.519
Pure Disco,0.899,0.783
Naturally,0.895,0.805
Creatur,0.832,0.506
Unconditional - Crackazat Rework,0.76,0.863
Early Byrd,0.953,0.649
Beyond the Abyss,0.956,0.611
Gravity Waves,0.812,0.943
Sheryl Melts My Heart,0.905,0.713
Gratiot Avenue Piano,0.811,0.879
A Track For Love - Original Mix,0.932,0.628
Unknown Journey I,0.917,0.633
Safe Place - Mixed,0.939,0.54
Safe Place,0.954,0.407
Paradise,0.907,0.822
Believer [featuring Ann Saunderson] - The Edit,0.84,0.767
Injection,0.835,0.695
Meridian,0.828,0.552
Working Night Remix,0.639,0.793
Ancestors - Main Mix,0.665,0.595
Jazzo,0.853,0.585
7 b4 Dawn - Original Mix,0.941,0.798
"Alive - Original Mix,",0.837,0.873
For the Music,0.637,0.605
Aqua Jujidsu,0.888,0.91
They're Coming - Mixed,0.939,0.286
Hip Hop Jazz,0.946,0.339
Unknown Journey X,0.842,0.869
Blackwater - E-Dancer Vocal Dub Edit,0.89,0.628
Aquatic Cataclysm,0.922,0.573
Anti Vapour Waves,0.82,0.908
Davey Jones Locker,0.709,0.922
Andreaen Sand Dunes - Mixed,0.889,0.828
The Countdown Has Begun,0.921,0.98
Darthouven Fish Men,0.847,0.976
Intensified Magnetron,0.915,0.822
Fort Street,0.906,0.72
Art Of Stalking,0.85,0.916
The Seawolf,0.921,0.93
Tales of Tarabuka,0.896,0.972
Dance,0.839,0.684
So Sheik - Alexis Tyrel Remix,0.812,0.616
Positive Vibes,0.866,0.878
$hake It Down,0.882,0.786
In Circles,0.935,0.917
The Box,0.859,0.722
A World Divided - Original Mix,0.936,0.97
Qalbi,0.917,0.78
Boiler,0.869,0.779
The Forgotten - Original Mix,0.855,0.737
Burdens Down - Original Mix,0.514,0.913
Empower - Original Mix,0.868,0.844
These Sounds Lead the Way,0.804,0.56
H-Factor,0.924,0.996
Modernism - Original Mix,0.926,0.805
A Victim,0.93,0.572
Eniac - Original Mix,0.908,0.805
Combustable - Four Track Remix,0.912,0.563
Maroon,0.951,0.861
At Last - mixed,0.755,0.574
I Believe - Bring in the New Age Children Fall-Out for the Beat,0.597,0.951
Just Work It - Instrumental Mix,0.917,0.568
Funky World (Blake Baxter Remix) - Mixed,0.905,0.89
Infra Red Spectrum,0.901,0.988
Baghdad Express,0.86,0.509
Tazumal,0.922,0.935
Bastille Day,0.893,0.942
Countermeasures,0.913,0.836
Base Camp Alpha 808 - Original Mix,0.911,0.758
Technic 1200,0.743,0.618
Technic 1200,0.718,0.626
Lucid,0.902,0.906
Plastiphillia 2,0.698,0.828
Ipseity,0.928,0.715
Infophysix,0.872,0.645
Pornoviewer,0.807,0.762
Dark Commodore,0.834,0.734
Prado Oscuro,0.96,0.619
Toro - Onyvaa mix,0.912,0.892
Omokase,0.884,0.722
007 A1,0.934,0.643
Mode 09,0.932,0.976
Pornoactress,0.565,0.762
Rocket Scientist,0.873,0.873
Preface,0.886,0.972
Night,0.902,0.316
Opprobrium,0.956,0.918
008 B1,0.913,0.762
Cruising,0.851,0.988
Retroreflective,0.867,0.997
Tubby,0.81,0.78
Living Is Serious Business - Carl Craig Remix,0.864,0.733
Space Rider - Original Mix,0.929,0.781
Utopia,0.907,0.633
Crypto Slave - Original Mix,0.829,0.717
Printemps - Original Mix,0.911,0.499
Bonus Beat,0.959,0.975
It's A Shame,0.83,0.588
Still Hot - Original Mix,0.915,0.603
Please Stand By,0.941,0.824
Relationships - Original Mix,0.917,0.405
The Type I Like,0.916,0.173
Andromeda,0.857,0.769
Birth of 3000,0.887,0.521
Time Original - Mixed,0.837,0.375
Evangelion - Jonson & Siminski Remix,0.922,0.667
Friend Of Mine - Original Mix,0.891,0.405
Aphrika - ’17 Remastered,0.754,0.552
Shari Vari - DJ Godfather Ghetto Tech Mix,0.719,0.427
Get To You,0.921,0.592
I Can't Believe - Extended Mix,0.796,0.949
Oombah - Kevin Saunderson & Justin Cholewski Remix,0.787,0.781
Kicking Up,0.871,0.394
MISBHV,0.875,0.946
Ready My Black Asz,0.917,0.915
Hunt Patterns 6,0.927,0.92
Cycle Blue,0.88,0.744
1992.,0.882,0.457
We Are Human - Deep Mix,0.535,0.486
We make Beats,0.902,0.586
Foundation - Extended Mix,0.767,0.719
Rated AUX,0.928,0.384
Wayne County Stomp,0.918,0.807
Grafton Road,0.921,0.674
Toro - Mattia Trani mix,0.728,0.741
Over You Too,0.913,0.411
Storm,0.932,0.609
Climax - Dj Exos remix 2,0.91,0.947
S.E.X - A.O.L Remix,0.873,0.63
Simply,0.875,0.318
Who's in Key,0.936,0.67
Soul Xchange - Original Mix,0.691,0.587
Heavenly,0.892,0.942
Less Pain,0.939,0.843
Soul Filter (The Dancer),0.906,0.85
It Can Be Done but Only I Can Do It,0.898,0.636
Velocity Funk,0.921,0.966
Force Fed the Meds!!!!!!,0.941,0.768
Oblivion - Mixed,0.872,0.949
Mandela Gold,0.935,0.714
Trigger Happy (Safety Off),0.836,0.902
(Age Of) Endustry - Original Mix,0.844,0.794
Spiral Galaxy,0.904,0.995
Breaker Breaker One Ten,0.954,0.569
Microbe,0.961,0.942
Trigger Happy Level,0.744,0.846
Flying Machines,0.591,0.955
The Only Way Out,0.895,0.485
Jade,0.772,0.842
Return of the Dragons,0.963,0.884
No,0.546,0.541
Hi-Tech Jazz,0.614,0.741
Clones,0.695,0.799
We Are The Future,0.705,0.789
Sensual Disguise,0.835,0.544
If Am Was Fm,0.654,0.912
Into The Future - Extended Mix,0.901,0.905
Sarah,0.927,0.93
My Naffew Randy,0.785,0.469
Justa Groove,0.884,0.868
Supported Solely,0.938,0.947
K-1 Theme,0.875,0.365
Oombah - THEMBA's Herd Extended Remix,0.868,0.618
Odawa,0.925,0.534
Lost In Space Mixdown,0.837,0.453
Track #8,0.931,0.793
"Midnight Club Tracks II, Pt. 2",0.948,0.999
Ganymede,0.87,0.679
Phantom,0.874,0.818
Shaper of the Unknown,0.723,0.89
Electronic Robots - Dynamik Bass System,0.839,0.609
200001,0.952,0.796
Idyllic - Extended Mix,0.875,0.651
One of a Kind,0.845,0.761
Income Tax Refund Dance,0.919,0.314
100% House,0.768,0.418
Various Mixed KDJ Rarities,0.84,0.626
Till We Meet Again - Carl Craig Remix,0.869,0.5
Salsa Life,0.907,0.992
Future - Instrumental,0.844,0.819
Wiggin' - Juan Atkins Mix,0.755,0.839
To Be or Not to Be,0.871,0.87
Bassline - Joris Voorn 07 Remix,0.892,0.759
Just Want Another Chance - John Tejada Remix,0.903,0.615
Bounce Your Body to the Box - Miek Shannon's Flashback Mix,0.879,0.894
Kevin Saunderson History Elevate - Continuous Mix,0.786,0.901
We Make Beats,0.908,0.584
The Human Bond - Claude VonStroke Rave Recognize Rave Mix,0.875,0.679
Atol - 2014 Remaster,0.888,0.936
Riod,0.884,0.396
Bad Hands,0.802,0.985
Riod,0.896,0.405
The Source,0.902,0.62
Raw Trax 10,0.93,0.872
"Credence, Pt. 2",0.888,0.998
"La Real, Pt. 3",0.91,0.566
First (Outline Mix) - Len Faki Hardspace Mix,0.941,0.96
Eight Wrathful Deities,0.864,0.97
Transparent Radiation,0.858,0.862
Starlight - Soultek Mix,0.81,0.456
Scorn,0.916,0.82
Prowler,0.83,0.801
"Patience, Pt. 5",0.917,0.993
Sleep (Ultra Violet),0.867,0.924
Orbit,0.905,0.529
The Heath,0.931,0.988
Session 2,0.877,0.893
Those Who Do Not,0.914,0.468
Angel,0.746,0.446
Drive (I-75),0.803,0.609
Rotunda,0.93,0.941
Frustration,0.508,0.562
Satisfy U,0.88,0.554
Sound Of Stereo,0.765,0.937
No Ufo's - Luciano Remix,0.879,0.831
At the Heart of It All,0.938,0.972
Transport - Carl Craig Remix - Edit,0.898,0.347
Sandstorms - C2 2011 Version,0.897,0.685
They Were,0.859,0.732
My House - Dennis F Remix,0.746,0.589
Session 1,0.916,0.934
Walking Thru the Sky,0.917,0.199
Electronic - Remix,0.803,0.683
Crucified - Quantec Remix,0.515,0.282
Science Fiction,0.898,0.855
DJ-KiCKS Track - (At Les),0.818,0.632
Goodbye World / The Dreamer - Mixed,0.893,0.813
Clear - Troy Pierce Clash Remix,0.862,0.576
Threshold,0.902,0.971
Clear - Louderbach All This Space Mix,0.612,0.514
Down,0.706,0.364
Acid King - Full Tilt Mix,0.944,0.816
Black Mahogani,0.746,0.815
Locomotion (In Key),0.855,0.384
You've Got Me - Original Mix,0.881,0.435
In The Night,0.694,0.559
Prey For Peace,0.882,0.664
"Music, Pt. 1",0.865,0.526
96:01 01:00,0.925,0.315
Don't Play,0.877,0.895
More Human,0.93,0.727
Twilight,0.848,0.298
Imaginary Thug Funk,0.868,0.789
Tundra - Original Mix,0.912,0.862
Pattern Recognition,0.926,0.696
Way Back,0.613,0.783
Weirdo,0.903,0.758
(Intro) Version II,0.95,0.906
Warning,0.893,0.458
Headhunter,0.906,0.805
Aqua,0.886,0.86
Wuddaji,0.864,0.74
Strings of Life - FLAM*BOY*ANT MIX,0.863,0.818
Wiggin,0.906,0.763
Dusty Cabinets,0.952,0.463
Angel - Jerome Sydenham Vocal Dub,0.939,0.755
Stop Bajon - TP Translation,0.796,0.831
Floorshow - 1.2,0.918,0.643
Movement,0.835,0.976
This Is For You - Instrumental,0.933,0.592
The Rink,0.719,0.73
Futurelovetheme,0.904,0.556
Angry Purple Birds,0.882,0.846
Beyond The Dance,0.818,0.994
So Now What,0.783,0.575
Kaos - Juice Bar Mix,0.793,0.801
Synthetic Flemm,0.955,0.57
Knew Better Do Better,0.686,0.641
Home Entertainment,0.887,0.681
Reaction to Plastic,0.918,0.483
5 - Alex Under Remix,0.855,0.727
Drive,0.94,0.798
Fallen Funk,0.89,0.81
Tedra,0.728,0.558
Expand - Tale of Us Remix,0.897,0.601
Sorrow & A Cup of Joe,0.828,0.479
Headcase,0.964,0.188
Disconnect,0.942,0.247
Sunrays,0.83,0.472
PK,0.947,0.159
Sickness,0.906,0.939
Groove La Chord,0.915,0.906
Running From Love,0.898,0.488
Eat The Heart,0.883,0.849
Arcane,0.922,0.721
Pivot,0.964,0.811
Ishtar,0.914,0.917
Thrive On Chaos,0.939,0.487
Plastique,0.77,0.761
City Slicker,0.856,0.891
Amethyst,0.77,0.358
Soul Man,0.951,0.56
Fuknit,0.805,0.773
Glaciär/For Minou - Original Mix,0.898,0.79
Lady 707,0.91,0.877
A New Breed,0.907,0.514
More Restrained,0.937,0.567
Butterflies,0.895,0.321
Groove,0.823,0.529
Standing in the Light,0.838,0.364
Night Light,0.92,0.801
Dance of the Drunken Drums,0.886,0.69
Cala Luna,0.879,0.752
GOD Will Provide,0.936,0.779
Catatonic (First State) - Mixed,0.867,0.903
Just Like Muzik - Michele Chiavarini Remix,0.842,0.708
A Track for O.J. Simpson - The Acquittal Remix,0.955,0.623
Hiding In Your Love (feat. Coco Street) - TP's Deep Dancin Dub Mix,0.636,0.64
When Will We Be Free - Tp's 2016 Instrumental Re-Edit,0.942,0.654
Alarm the Sound - Retro Groove Mix,0.874,0.803
GOD Loves Detroit - The Resurrection,0.887,0.892
Saved Forever (C2 Mix) / The Way We Used To (Accapella) - Mixed,0.677,0.924
The Greatest Dancer,0.743,0.836
Chroma Light,0.883,0.675
Birth of New Life,0.947,0.593
Essence - Traumer's Reduced Mix,0.9,0.54
Black Sea,0.929,0.865
Teflon,0.921,0.963
D-Spirit,0.841,0.773
Species of the Pod,0.919,0.609
Dread,0.821,0.825
Clash,0.956,0.897
Shaker,0.812,0.682
A-472.0,0.918,0.885
One Day,0.899,0.601
Lockers,0.889,0.885
Wandering Endlessly,0.862,0.415
Inspiration,0.841,0.56
The Pace,0.582,0.835
The Pipes,0.942,0.983
Transform,0.867,0.727
In Limbo,0.923,0.654
Bond Solid - Mixed,0.823,0.918
The Rock (Version),0.715,0.515
Trying Times,0.93,0.566
Mirror Man - Mixed,0.822,0.806
Minus,0.718,0.757
Magic - Original Mix,0.856,0.579
Trans,0.926,0.591
Face In The Water,0.832,0.613
The Majestic - Deeper Edit,0.945,0.75
Bells at Dusk,0.91,0.928
Feel This - Odyssey Version,0.903,0.674
I Am,0.889,0.887
Danger Bay,0.893,0.872
Before Existence,0.79,0.625
Ociya Syndor,0.927,0.508
Greytype I - Mixed,0.876,0.661
Bubble Chamber,0.905,0.763
Reflector - Mixed,0.843,0.865
Journey Home,0.883,0.676
Dead Man's Reef,0.919,0.628
Nautilus 12,0.57,0.929
Unknown Journey II,0.764,0.989
Positron Island - Extended Album Version,0.924,0.984
Black Sea - Mixed,0.929,0.828
Vampire Island,0.74,0.735
Bubble Metropolis - Mixed,0.83,0.698
The Cure,0.771,0.961
A Better Tomorrow - O1 Remake,0.915,0.689
Protein Valve - Edit 2,0.857,0.909
Superman,0.875,0.979
Hallelujah,0.511,0.554
Who Taught You Math,0.917,0.547
Feel It - Nice & Smoove Mix,0.817,0.887
Innovators (Detroit Techno),0.59,0.6
Bad Love II - Original Mix,0.837,0.723
Who Taught You Math (Shonky Remix),0.889,0.754
Power to Prohet,0.85,0.831
8 b4 Dawn - Original Mix,0.843,0.277
Ahnonghay - Original Reese Mix,0.804,0.877
Spirit Levels,0.805,0.714
Big Fun (Remastered) - Extended Mix,0.769,0.967
Good Life - Club Mix 2017,0.623,0.921
One Nation,0.819,0.818
Suddenly Human - Original Mix,0.717,0.474
Let It Reign,0.601,0.671
Big Fun 2017 (Mix Cut),0.66,0.975
Do You Love What You Feel 2018 - Inner City & House Of Virus Extended Instrumental Mix,0.885,0.983
Good Life (Buena Vida) - Tommy Onyx's Barcelona Mix,0.555,0.854
Let It Reign,0.645,0.839
Unity - Reese North Of Watford Mix,0.886,0.713
Hallelujah - Inner City House Of Virus Remix,0.945,0.955
Till We Meet Again - Inner City Edit of Carl Craig Remix,0.679,0.944
We All Move Together - Kevin Saunderson x Latroit Extended Remix,0.758,0.723
We All Move Together - Kevin Saunderson x Latroit Remix,0.603,0.852
Daddy Cool,0.79,0.777
We Are Mirage,0.75,0.7928571428571429
Zoom Zoom,0.625,0.849
I Feel Love,0.541,0.965
To Cut a Long Story Short,0.839,0.86
Offshore - Kryder Remix,0.784,0.967
